Topic,Count,Name,Representation,Representative_Docs_x,IDs,Representative_Docs_y
-1,1026,-1_pay_work_housing_time,"['pay', 'work', 'housing', 'time', 'money', 'living', 'food', 'people', 'students', 'make']","[""living wage hard determine. work situation, make money don't realize hard baseline workers live wages. it's hard live wages paid days prices high state travel work. it's easy 160 miles round trip work home 5 days week."", ""northern needs pay staff more. office short staffed getting pay. office student services stressed tired just don't think worth stay here, lose good collogues. able receive certain mental health days use recuperate destress. paid more, wouldn't worry paying rent/mortgage bills time, cut stress increasing better productivity offices"", ""honestly don't think there's college help. issues larger address. high food prices, health costs, vehicle costs, home costs...... can't afford live anymore. make 45k year single kids broke day life. make qualify assistance can't afford pay bills feed kids.""]","['93', '103', '164', '176', '178', '211', '318', '342', '356', '367', '380', '406', '417', '458', '504', '562', '585', '589', '608', '707', '754', '819', '888', '891', '895', '942', '955', '1008', '1041', '1105', '1118', '1141', '1167', '1194', '1293', '1367', '1374', '1422', '1433', '1441', '1568', '1574', '1634', '1682', '1737', '1929', '2122', '2226', '2266', '2370', '2374', '2400', '2410', '2414', '2416', '2437', '2532', '2533', '2550', '2557', '2565', '2570', '2571', '2577', '2603', '2604', '2608', '2615', '2639', '2686', '2703', '2738', '2748', '2757', '2784', '2785', '2800', '2810', '2873', '2887', '2946', '3080', '3315', '3342', '3435', '3463', '3467', '3491', '3529', '3569', '3748', '3838', '3846', '3854', '3872', '3879', '3905', '3922', '3925', '4049', '4051', '4056', '4057', '4085', '4205', '4221', '4485', '4556', '4558', '4580', '4708', '4759', '4933', '5429', '5509', '5600', '5615', '5638', '5800', '5823', '5825', '5863', '5909', '5921', '5925', '5931', '5982', '5989', '6010', '6022', '6028', '6029', '6090', '6101', '6117', '6129', '6149', '6170', '6195', '6197', '6244', '6327', '6340', '6346', '6363', '6371', '6379', '6382', '6444', '6491', '6599', '6654', '6669', '6686', '6688', '6749', '6792', '6865', '6875', '6905', '6909', '6927', '6997', '7003', '7012', '7017', '7019', '7030', '7097', '7102', '7144', '7177', '7184', '7234', '7252', '7310', '7482', '7563', '7564', '7605', '7628', '7647', '7702', '7751', '7753', '7755', '7767', '7809', '7881', '7903', '7933', '8014', '8028', '8031', '8043', '8082', '8115', '8158', '8178', '8340', '8416', '8559', '8579', '8612', '8655', '8671', '8703', '8899', '8909', '8918', '8928', '8940', '8971', '8981', '8997', '9003', '9005', '9029', '9044', '9056', '9075', '9113', '9157', '9167', '9192', '9202', '9262', '9263', '9270', '9336', '9464', '9481', '9566', '9568', '9581', '9620', '9645', '9702', '9836', '9864', '9927', '9981', '10036', '10081', '10084', '10199', '10221', '10238', '10240', '10242', '10258', '10393', '10408', '10426', '10447', '10485', '10498', '10586', '10628', '10684', '10688', '10698', '10713', '10762', '10776', '10792', '10813', '10832', '10881', '10957', '11078', '11463', '11483', '11500', '11557', '11863', '11909', '12109', '12207', '12339', '12374', '12396', '12462', '12494', '12528', '12583', '12674', '12705', '12827', '12831', '12887', '13000', '13004', '13017', '13039', '13051', '13057', '13105', '13120', '13139', '13180', '13283', '13291', '13394', '13404', '13405', '13406', '13407', '13408', '13412', '13447', '13451', '13756', '13804', '13830', '13866', '13888', '13902', '13933', '13969', '13992', '13997', '14017', '14085', '14136', '14219', '14261', '14388', '14406', '14467', '14486', '14573', '14715', '14864', '14880', '14896', '14925', '14943', '14989', '14999', '15012', '15072', '15221', '3', '17', '45', '88', '91', '103', '141', '163', '211', '216', '228', '330', '356', '367', '380', '400', '403', '411', '455', '504', '521', '562', '577', '584', '627', '737', '755', '852', '882', '888', '895', '904', '955', '957', '973', '979', '989', '990', '1008', '1014', '1021', '1041', '1078', '1105', '1114', '1154', '1165', '1167', '1226', '1237', '1292', '1295', '1298', '1315', '1339', '1377', '1433', '1446', '1453', '1477', '1513', '1634', '1682', '2122', '2137', '2156', '2260', '2266', '2400', '2404', '2406', '2410', '2416', '2508', '2510', '2520', '2535', '2537', '2550', '2560', '2566', '2577', '2593', '2608', '2617', '2630', '2644', '2651', '2653', '2667', '2684', '2689', '2713', '2717', '2721', '2738', '2757', '2784', '2800', '2822', '2852', '2877', '2879', '2884', '2930', '2956', '2966', '3024', '3025', '3058', '3080', '3113', '3161', '3164', '3200', '3262', '3270', '3315', '3342', '3410', '3463', '3474', '3550', '3569', '3709', '3734', '3752', '3823', '3837', '3846', '3909', '3922', '3941', '3984', '3986', '3993', '4002', '4053', '4057', '4064', '4205', '4222', '4285', '4485', '4550', '4556', '4580', '4681', '4736', '5079', '5080', '5093', '5204', '5263', '5265', '5280', '5288', '5378', '5478', '5486', '5488', '5503', '5507', '5538', '5597', '5638', '5813', '5816', '5845', '5847', '5852', '5855', '5876', '5888', '5903', '5909', '5918', '5931', '5953', '5982', '5987', '5989', '5997', '6018', '6022', '6035', '6044', '6051', '6072', '6074', '6090', '6100', '6101', '6104', '6126', '6129', '6161', '6162', '6197', '6238', '6242', '6243', '6252', '6280', '6281', '6296', '6316', '6336', '6344', '6347', '6364', '6371', '6374', '6379', '6406', '6441', '6475', '6501', '6568', '6599', '6602', '6652', '6659', '6687', '6698', '6711', '6749', '6791', '6823', '6827', '6875', '6922', '6930', '6933', '6940', '6951', '6985', '6997', '7007', '7017', '7030', '7083', '7101', '7102', '7120', '7137', '7138', '7249', '7252', '7265', '7287', '7293', '7310', '7491', '7494', '7532', '7560', '7628', '7645', '7652', '7656', '7660', '7696', '7702', '7774', '7797', '7807', '7813', '7840', '7877', '7927', '7956', '7958', '7998', '8022', '8031', '8043', '8050', '8079', '8120', '8130', '8178', '8191', '8254', '8364', '8444', '8559', '8579', '8596', '8612', '8693', '8703', '8810', '8889', '8892', '8894', '8896', '8897', '8909', '8913', '8915', '8916', '8928', '8930', '8936', '8941', '8943', '8945', '8946', '8953', '8954', '8960', '8962', '8967', '8969', '8970', '8981', '8986', '9003', '9025', '9028', '9074', '9078', '9083', '9085', '9096', '9105', '9106', '9112', '9121', '9133', '9142', '9153', '9166', '9181', '9186', '9213', '9258', '9270', '9281', '9295', '9376', '9451', '9466', '9500', '9524', '9546', '9566', '9570', '9634', '9717', '9836', '9864', '9896', '10036', '10043', '10081', '10084', '10088', '10112', '10146', '10187', '10199', '10220', '10271', '10279', '10315', '10318', '10363', '10366', '10394', '10395', '10485', '10498', '10520', '10620', '10628', '10655', '10695', '10700', '10735', '10760', '10762', '10776', '10778', '10832', '10881', '10957', '11008', '11045', '11057', '11060', '11091', '11095', '11420', '11538', '11547', '11797', '11820', '11822', '11863', '11909', '12105', '12155', '12231', '12250', '12365', '12368', '12369', '12444', '12447', '12478', '12532', '12583', '12661', '12674', '12746', '12827', '13000', '13020', '13110', '13139', '13153', '13203', '13278', '13305', '13317', '13337', '13394', '13397', '13406', '13407', '13408', '13451', '13537', '13706', '13756', '13761', '13763', '13792', '13793', '13798', '13801', '13804', '13830', '13850', '13886', '13906', '13907', '13910', '13933', '13953', '13987', '13993', '14101', '14125', '14149', '14226', '14261', '14314', '14388', '14422', '14444', '14445', '14458', '14486', '14544', '14601', '14604', '14715', '14943', '14989', '14996', '14999', '15012', '15028', '15033', '15038', '15070', '15100', '15121', '15126', '15129', '15174', '15195', '15235', '184', '228', '257', '285', '380', '400', '459', '522', '543', '589', '608', '685', '706', '707', '895', '955', '973', '1109', '1167', '1174', '1188', '1226', '1379', '1433', '1568', '1634', '1682', '1776', '2266', '2410', '2414', '2547', '2560', '2571', '2603', '2604', '2615', '2617', '2651', '2666', '2703', '2784', '2836', '2841', '2871', '2879', '2946', '3113', '3135', '3355', '3443', '3508', '3522', '3885', '3918', '4060', '4170', '4205', '4220', '4724', '4759', '5345', '5585', '5681', '5719', '5814', '5823', '5852', '5863', '5905', '5997', '6008', '6018', '6062', '6069', '6105', '6149', '6161', '6243', '6284', '6313', '6340', '6374', '6382', '6393', '6599', '6607', '6792', '6865', '6905', '6940', '6991', '7255', '7256', '7446', '7656', '7755', '7840', '7931', '7958', '8002', '8015', '8031', '8040', '8043', '8130', '8164', '8178', '8180', '8345', '8884', '8912', '8913', '8920', '8941', '8945', '8961', '8967', '8979', '8989', '9038', '9072', '9105', '9133', '9272', '9305', '9420', '9451', '9553', '9566', '9776', '9864', '10108', '10135', '10182', '10238', '10240', '10253', '10254', '10258', '10363', '10436', '10447', '10586', '10622', '10684', '10695', '10697', '10713', '10792', '10854', '10881', '11065', '11274', '11463', '11479', '11863', '12109', '12158', '12233', '12320', '12361', '12462', '12478', '12528', '12674', '12705', '12821', '12827', '12831', '12900', '13067', '13094', '13110', '13203', '13303', '13321', '13462', '13565', '13706', '13866', '13867', '13927', '13953', '13997', '14004', '14149', '14261', '14314', '14388', '14444', '14445', '14510', '14879', '14996', '14999', '15000']","['prices up; anxiety goes up.', 'lack focus worry finding place stay wear welcome brothers home.', 'worrying healthy food cause distracted work', 'low income', 'falta concentration y participacion, disponibilidad.']"
0,588,0_bod_share__,"['bod', 'share', '', '', '', '', '', '', '', '']","['', 'bod', '']","['12', '34', '97', '455', '503', '653', '674', '744', '813', '882', '945', '996', '1013', '1066', '1078', '1099', '1102', '1312', '1379', '1623', '1739', '2056', '2330', '2375', '2395', '2406', '2411', '2523', '2578', '2591', '2636', '2641', '2651', '2654', '2690', '2713', '2749', '2758', '2807', '2816', '2909', '2947', '2971', '2972', '3020', '3148', '3177', '3444', '3531', '3826', '3827', '3855', '3869', '3900', '3943', '4002', '4065', '4170', '4278', '4339', '4350', '4498', '4570', '4705', '4872', '4873', '4874', '4924', '4925', '4964', '5015', '5020', '5041', '5042', '5059', '5080', '5093', '5238', '5265', '5486', '5681', '5835', '5843', '5876', '5903', '5908', '5950', '6025', '6034', '6037', '6076', '6222', '6232', '6240', '6242', '6256', '6261', '6269', '6326', '6506', '6602', '6623', '6652', '6656', '6673', '6696', '6707', '6714', '6827', '6866', '6943', '6955', '6959', '7025', '7026', '7104', '7181', '7249', '7255', '7285', '7423', '7494', '7553', '7609', '7614', '7638', '7769', '7931', '7944', '7956', '8009', '8095', '8155', '8479', '8842', '8883', '8884', '8888', '8905', '8912', '8946', '8990', '9017', '9025', '9037', '9080', '9085', '9095', '9114', '9121', '9142', '9165', '9181', '9186', '9228', '9290', '9310', '9467', '9687', '9790', '9819', '10023', '10072', '10124', '10230', '10346', '10678', '10679', '10737', '10965', '10975', '10990', '11057', '11060', '11092', '11114', '11290', '11540', '11596', '11670', '11722', '11822', '11888', '11899', '12105', '12134', '12156', '12250', '12270', '12386', '12427', '12444', '12688', '12690', '13034', '13056', '13121', '13149', '13182', '13219', '13236', '13289', '13332', '13397', '13413', '13505', '13564', '13635', '13706', '13730', '13792', '13823', '13833', '13857', '13884', '13967', '13973', '14081', '14101', '14197', '14567', '14608', '14691', '14777', '14865', '14915', '14947', '15042', '15111', '15138', '15235', '1312', '2330', '2411', '3177', '3413', '3435', '3872', '3943', '4350', '4498', '4872', '4873', '4874', '4924', '4925', '4964', '5017', '5020', '5059', '5559', '5615', '6091', '6282', '6623', '7025', '8023', '8083', '8164', '8880', '10070', '10678', '11227', '11290', '11976', '12464', '13121', '13564', '13834', '13967', '3', '91', '109', '163', '330', '333', '342', '397', '455', '503', '562', '748', '837', '937', '942', '1030', '1066', '1078', '1097', '1099', '1102', '1293', '1312', '1334', '1413', '1506', '1611', '1739', '1929', '2122', '2226', '2260', '2375', '2394', '2411', '2412', '2431', '2438', '2448', '2523', '2530', '2572', '2578', '2597', '2636', '2713', '2720', '2758', '2822', '2845', '2870', '2877', '2906', '2927', '2965', '2976', '3025', '3037', '3107', '3165', '3177', '3203', '3260', '3308', '3413', '3435', '3506', '3531', '3734', '3808', '3811', '3822', '3823', '3826', '3837', '3869', '3872', '3896', '3936', '3943', '3966', '3986', '3993', '4002', '4020', '4044', '4050', '4056', '4157', '4158', '4222', '4256', '4285', '4345', '4498', '4541', '4550', '4556', '4580', '4681', '4708', '4736', '4854', '4872', '4874', '4878', '4924', '4925', '4933', '4964', '5015', '5017', '5020', '5059', '5079', '5080', '5248', '5249', '5264', '5265', '5429', '5460', '5486', '5503', '5507', '5509', '5559', '5572', '5595', '5597', '5643', '5659', '5825', '5828', '5879', '5901', '5903', '5907', '5956', '5966', '6002', '6011', '6080', '6090', '6107', '6132', '6153', '6231', '6242', '6250', '6256', '6261', '6314', '6315', '6319', '6415', '6438', '6528', '6529', '6602', '6623', '6668', '6728', '6850', '6896', '6909', '6943', '6950', '6959', '6975', '6979', '7019', '7025', '7137', '7213', '7223', '7285', '7420', '7447', '7610', '7639', '7657', '7671', '7684', '7797', '7831', '7996', '8034', '8050', '8083', '8155', '8271', '8576', '8787', '8796', '8888', '8905', '8929', '8937', '8960', '8962', '9017', '9030', '9057', '9059', '9077', '9083', '9120', '9125', '9181', '9186', '9213', '9228', '9258', '9290', '9295', '9309', '9463', '9494', '9687', '9690', '9793', '9816', '9927', '10012', '10070', '10129', '10230', '10231', '10279', '10315', '10323', '10346', '10386', '10566', '10620', '10628', '10655', '10678', '10700', '10737', '10832', '10990', '11040', '11057', '11060', '11071', '11092', '11172', '11227', '11290', '11483', '11500', '11578', '11679', '11691', '11790', '11797', '11903', '11976', '12095', '12107', '12131', '12266', '12296', '12369', '12374', '12386', '12396', '12410', '12411', '12427', '12494', '12594', '12661', '12680', '12688', '12728', '12774', '12818', '12978', '13080', '13121', '13139', '13149', '13173', '13316', '13377', '13460', '13505', '13564', '13726', '13730', '13756', '13766', '13791', '13796', '13823', '13833', '13907', '13967', '13988', '13994', '14034', '14078', '14093', '14607', '14615', '14619', '14777', '14952', '14989', '15004', '15111', '15125', '15138', '15174', '15213']","['', '', '', '', '']"
1,413,1_campus_pantry_food_students,"['campus', 'pantry', 'food', 'students', 'options', 'healthy', 'provide', 'meal', 'offer', 'affordable']","['students need food options campus.', 'campus food pantry', 'food pantry campus']","['411', '2392', '2599', '3136', '3212', '5915', '6303', '8194', '11130', '13850', '13885', '13886', '15010', '15050', '15174', '7', '134', '164', '242', '266', '286', '313', '318', '334', '342', '397', '410', '412', '445', '458', '473', '581', '647', '788', '813', '945', '980', '983', '1030', '1057', '1060', '1109', '1126', '1128', '1194', '1251', '1320', '1321', '1342', '1357', '1379', '1384', '1413', '1423', '1435', '1565', '1574', '1929', '1978', '2056', '2370', '2408', '2409', '2414', '2422', '2430', '2437', '2448', '2453', '2469', '2509', '2532', '2534', '2548', '2570', '2590', '2591', '2599', '2604', '2619', '2621', '2637', '2639', '2642', '2686', '2720', '2730', '2736', '2737', '2748', '2758', '2792', '2805', '2810', '2828', '2870', '2873', '2881', '2902', '2941', '2977', '2998', '3112', '3154', '3157', '3163', '3165', '3256', '3269', '3323', '3437', '3444', '3450', '3491', '3639', '3696', '3698', '3702', '3808', '3826', '3847', '3869', '3887', '3924', '3964', '3970', '3976', '4045', '4047', '4155', '4238', '4292', '4311', '4334', '4558', '4648', '4708', '5238', '5345', '5600', '5659', '5811', '5814', '5823', '5828', '5885', '5905', '5913', '5914', '5915', '5935', '5966', '5968', '6000', '6001', '6002', '6025', '6028', '6037', '6069', '6102', '6110', '6136', '6170', '6173', '6195', '6247', '6258', '6276', '6286', '6294', '6334', '6346', '6388', '6393', '6403', '6415', '6508', '6530', '6559', '6583', '6598', '6608', '6646', '6682', '6702', '6822', '6850', '6865', '6917', '6927', '6967', '7019', '7024', '7037', '7075', '7088', '7097', '7193', '7213', '7234', '7259', '7274', '7275', '7283', '7327', '7408', '7420', '7447', '7459', '7482', '7540', '7551', '7553', '7586', '7594', '7613', '7620', '7649', '7669', '7671', '7701', '7770', '7890', '7906', '7908', '7933', '7937', '7940', '7944', '7968', '7990', '8002', '8115', '8148', '8180', '8264', '8371', '8397', '8567', '8787', '8883', '8918', '8920', '8925', '8932', '8947', '8987', '8989', '8990', '9029', '9038', '9042', '9054', '9057', '9072', '9075', '9084', '9093', '9114', '9120', '9168', '9192', '9197', '9200', '9202', '9252', '9280', '9310', '9333', '9436', '9467', '9501', '9553', '9571', '9620', '9649', '9698', '9776', '9790', '10020', '10065', '10108', '10116', '10141', '10173', '10177', '10216', '10224', '10231', '10265', '10356', '10371', '10413', '10421', '10447', '10461', '10473', '10684', '10685', '10688', '10692', '10697', '10698', '10706', '10715', '10739', '10749', '10751', '10768', '10792', '10977', '11012', '11019', '11078', '11500', '11531', '11540', '11557', '11578', '11604', '11670', '11679', '11879', '11888', '12140', '12183', '12259', '12289', '12297', '12386', '12397', '12404', '12411', '12601', '13010', '13034', '13035', '13040', '13080', '13127', '13180', '13182', '13206', '13236', '13283', '13300', '13303', '13313', '13405', '13526', '13596', '13758', '13765', '13766', '13833', '13843', '13857', '13885', '13891', '13918', '13959', '13962', '13977', '14017', '14046', '14219', '14424', '14432', '14467', '14468', '14619', '14915', '14925', '15125', '15184', '663', '1060', '1298', '1456', '2443', '2730', '2828', '2884', '3112', '4722', '5836', '5935', '5968', '6022', '6121', '6287', '6303', '6336', '6662', '6667', '6698', '6967', '7638', '7908', '8278', '9084', '9436', '9464', '10177', '10366', '10666', '10707', '10764', '10977', '11130', '13852', '14751']","['having healthy food campus inconvenient healthy fast food options near campus. time classes eat, long stretches snack vending machines. students stuck campus option either.', 'buying food drinks students campus does cafeteria.', 'currently, secure food housing - worry rent possibly increased, dislike order healthy food campus, need prepare cook ahead time options campus limited.', 'hungry students everyday try healthy snacks office have.', 'none, nice food campus.']"
2,101,2_pantry_food_continue_hours,"['pantry', 'food', 'continue', 'hours', 'gallup', 'accessible', 'early', 'use', 'expand', 'people']","['food pantry', 'food pantry.', 'food pantry.']","['6153', '7459', '8180', '10102', '108', '217', '373', '425', '496', '674', '748', '819', '977', '1099', '1113', '1334', '2375', '2611', '2666', '2906', '3087', '3308', '3439', '3479', '3529', '3920', '4050', '4124', '4161', '4365', '5248', '5595', '5925', '5928', '5936', '5986', '6007', '6032', '6116', '6119', '6135', '6322', '6394', '6550', '6671', '6701', '6909', '6954', '7012', '7026', '7086', '7185', '7208', '7218', '7350', '7427', '7564', '8064', '8066', '8344', '8867', '8907', '9059', '9076', '9077', '9640', '10102', '10233', '10238', '10302', '10354', '10466', '10690', '10707', '11676', '12080', '12095', '12211', '12296', '12354', '12462', '12471', '13017', '13067', '13173', '13367', '13823', '13828', '13888', '13973', '14091', '14151', '14408', '14594', '14607', '14751', '15045', '2574', '2599', '3463', '8115']","['need live gallup work gallup.', 'needs nutritional foods available hours.', 'place store food work refrigerator. leave work early home eat.', 'leave work food pantry, embarrassing excuse leave.', 'food pantry cosmo cares good assistance.']"
3,85,3_housing_dorm_campus_dorms,"['housing', 'dorm', 'campus', 'dorms', 'faculty', 'apartment', 'student', 'rent', 'staff', 'build']","['campus housing', 'campus housing?', 'housing shortage town. university dorms students does make dorm rooms available faculty staff, having housing specialist help people locate available housing and/or having university housing available faculty/staff buy rent make possible people work university. people routinely turn job opportunities nearby housing.']","['1413', '5288', '13875', '653', '1013', '1093', '1288', '1362', '1367', '1623', '2209', '2342', '2443', '2468', '2546', '2622', '3136', '3355', '3430', '3517', '3855', '3882', '4049', '4065', '4256', '4442', '5719', '5818', '5836', '5880', '5937', '6061', '6062', '6313', '6444', '6491', '6662', '6674', '6866', '6868', '7223', '7563', '7639', '7684', '7816', '7887', '7950', '8014', '9027', '9046', '9113', '9157', '9185', '9336', '9420', '9438', '9531', '10586', '10622', '10965', '11130', '11752', '12131', '12165', '12257', '12817', '13194', '13233', '13462', '13866', '14411', '14510', '15130', '15201', '15214', '3702', '3964', '7234', '7600', '7881', '8364', '9182', '9333', '11909', '14988']","['moment, soon graduating, longer able stay campus housing.', 'unable residence closer campus drive long distances work.', 'housing rates prevent living campus area remote work.', 'build high density campus student housing', 'spaces campus simply day night...surely away use assets community']"
4,64,4_doesn_does_not_thankfully,"['doesn', 'does', 'not', 'thankfully', 'fortunately', 'luna', 'alot', 'younger', 'luckily', 'okay']","[""doesn't."", ""doesn't"", ""doesn't.""]","['400', '412', '422', '1060', '1113', '1396', '2342', '2407', '2518', '2736', '2855', '3053', '3413', '3450', '3885', '3966', '4093', '5538', '5847', '6281', '6314', '6661', '6791', '6917', '6985', '7170', '7350', '7649', '7968', '8929', '8941', '8998', '9038', '9068', '9079', '9106', '9213', '9258', '9420', '9438', '9531', '9640', '9807', '10288', '10311', '10356', '10413', '10705', '10751', '11065', '12266', '12432', '12464', '13834', '13844', '13907', '14411', '14468', '15121', '15184', '15214', '1545', '9068', '8596']","['blessed does not.', ""doesn't"", ""doesn't"", 'does not.', 'not, fortunately']"
5,58,5_insecurity_housing_insecure_food,"['insecurity', 'housing', 'insecure', 'food', 'experiencing', 'issue', 'currently', 'community', 'address', 'insecurities']","['food housing insecurity.', 'food housing insecurity', 'food housing insecurity.']","['150', '373', '761', '2534', '2597', '3811', '3909', '4482', '4710', '5388', '6276', '6304', '6370', '6393', '7043', '8538', '8693', '8867', '9059', '9070', '9501', '9793', '10146', '10392', '10421', '11479', '11679', '11797', '12361', '13110', '13194', '13367', '13605', '15195', '4854', '5851', '5894', '6285', '7255', '7609', '9191', '13377', '14491', '957', '2637', '5853', '6170', '6173', '6657', '7809', '7998', '8120', '9048', '9620', '10318', '11629', '12850', '13906']","['employed, housing food insecurity.', 'food housing insecurity.', 'experiencing food housing insecurity.', 'food housing insecure.', 'sure food situation. housing non-issue.']"
6,56,6_insecurity_students_housing_help,"['insecurity', 'students', 'housing', 'help', 'food', 'college', 'stamps', 'address', 'homeless', 'loans']","['colleges universities help address food housing insecurity ways. include providing emergency food housing assistance, increasing access affordable housing, providing free food pantries, offering education programs help students better manage finances. additionally, schools partner outside organizations provide students additional resources, legal aid mental health support.', 'healthier options amazing. having affordable, healthier food options expensive. unm worked state students easily qualify food stamps school takes time away work (and classes peak work days hours). make snap benefits state level easier college students. tried couple years food stamps qualified, affording food stressful. single makes harder qualify single parent family, population needs help, too. country college education privilege obstacles.', ""food pantry college students utilize feel students feel shame asking help feel like anybody general. housing insecurity, students live campus nature having pass classes financial aid requirement live campus, students wait minute ask type assistance end homeless lost privilege stay dorms. local homeless shelter large house struggling place stay that's problem. there's plenty churches built town farmington, willingness build homeless shelter won't abuse help get.""]","['4399', '5941', '5997', '6364', '6663', '7573', '8960', '12080', '14988', '97', '417', '589', '707', '1332', '2452', '2697', '2741', '2848', '2947', '3148', '3573', '5863', '6008', '6105', '6370', '6631', '6792', '6968', '8968', '9522', '9702', '10436', '11039', '11061', '11479', '11629', '12221', '12552', '12774', '13064', '13289', '13404', '13852', '13925', '14001', '14644', '15127', '4399', '5388', '6505', '6872', '8066', '9121', '10421', '10768', '14202']","['personally, students need help food housing.', 'work housing operations coordinator, handle *lot* students impacted food housing insecurity.', 'food housing security affect student participation program direct campus.', 'food housing insecurity affect students know when.', 'impacts work, impacts students. students experiencing food housing insecurity need supports instructor / supervisor.']"
7,51,7_na_virtually_ninguna_ni,"['na', 'virtually', 'ninguna', 'ni', 'nada', 'jonen', 'afectan', 'work', '', '']","['na', 'na', 'na']","['91', '243', '391', '496', '584', '1380', '2377', '3457', '3639', '4020', '5659', '5852', '6238', '6456', '6950', '7024', '7029', '8349', '8903', '9680', '10591', '10760', '11691', '12615', '13195', '13391', '13828', '15129', '243', '391', '1380', '3457', '4020', '6456', '8349', '10030', '10591', '13391', '243', '391', '406', '496', '1380', '3457', '3500', '6282', '9068', '10030', '10591', '10760', '14594']","['na', 'na', 'na', 'na', 'na']"
8,50,8_survey_thank_hope_answers,"['survey', 'thank', 'hope', 'answers', 'important', 'you', 'results', 'research', 'appreciate', 'it']","['thank survey', 'thank survey.', 'thank survey.']","['14809', '788', '1014', '1105', '1128', '1214', '2406', '2557', '2741', '2760', '2848', '2966', '3410', '3474', '3893', '5263', '5378', '5413', '5909', '5953', '6076', '6119', '6346', '6355', '6379', '6388', '6559', '7265', '7408', '7563', '7877', '8897', '8902', '8915', '9037', '9075', '9076', '9107', '9280', '9336', '10146', '10466', '10706', '10778', '11166', '11534', '11538', '11547', '13291', '13910']","['emails correct headings', ""i'm glad survey look forward seeing results"", 'wish best luck survey helping communities. thanks,', ""i'm saddened survey necessary. better care other. peace"", 'thank doing survey!']"
9,49,9_no_nonsense_approved_gone,"['no', 'nonsense', 'approved', 'gone', 'yes', 'it', '', '', '', '']","['no.', 'no.', 'no.']","['954', '1237', '10692', '1501', '923', '1321', '1422', '1446', '1501', '2534', '2816', '3046', '3466', '3550', '3909', '4710', '5488', '6281', '6399', '6530', '6658', '6998', '7017', '7293', '7729', '8894', '8953', '9028', '9142', '9165', '9698', '10023', '10395', '10687', '10826', '10975', '11820', '12105', '12404', '13120', '13226', '13447', '13763', '13839', '14330', '14411', '14715', '15121', '15222']","['yes...', 'no.', 'no.', 'no.', 'no.']"
10,46,10_resources_students_support_reach,"['resources', 'students', 'support', 'reach', 'academic', 'them', 'help', 'information', 'email', 'familiar']","['students left dark resources meant them. struggling way word services resources like food pantry. ahve tried class visits, posting canvas, emails, etc. students unaware.', 'resources students', 'awareness lobopantry - aware pandemic. continue raising visibility faculty resources support students. consider fragmentation information jnmâ€™s website lead missed opportunities support students. consider ux designer consult website.']","['581', '1357', '3113', '6247', '115', '2167', '2321', '2524', '2589', '3905', '5078', '5269', '5941', '6054', '6240', '6284', '6314', '6327', '6355', '6399', '6714', '7847', '7881', '8015', '8278', '8479', '8979', '9070', '9290', '10666', '11596', '12109', '13039', '13260', '13605', '15000', '318', '410', '1332', '2508', '2757', '5269', '5986', '6427', '8064', '11287']","['students miss class work care family members help homes.', 'know students deal know help.', 'lot students outside jobs support present (mentally physically) class.', 'work students resources them.', 'just continue address problem. try reach students need.']"
11,43,11_not_ok_can_,"['not', 'ok', 'can', '', '', '', '', '', '', '']","['not.', 'not.', 'not.']","['1154', '1377', '1456', '2637', '3046', '3471', '3822', '4117', '5891', '5905', '6231', '6334', '6434', '6467', '6475', '6583', '6651', '6698', '6872', '7083', '7665', '7728', '7797', '7877', '8894', '8907', '8989', '9120', '9191', '9226', '9634', '10302', '10500', '10708', '10826', '12233', '14330', '14639', '15033', '15125', '15131', '1310', '7940']","['not.', 'not.', 'not.', 'not.', 'not.']"
12,43,12_healthy_options_choices_meal,"['healthy', 'options', 'choices', 'meal', 'eat', 'meals', 'gluten', 'healthier', 'inexpensive', 'nutritional']","['healthy food', 'cheapest food poorest nutrition, like healthier choices food pantry, try cater gluten-free dairy-free.', 'provide healthy inexpensive food options/choices']","['1603', '2870', '3349', '3356', '6464', '7886', '9128', '12296', '14001', '14613', '571', '965', '988', '1141', '1456', '1495', '1568', '2215', '2530', '2946', '3531', '4117', '4170', '4221', '4553', '5183', '6681', '8009', '8905', '9005', '9305', '9315', '9415', '10074', '10182', '10737', '12374', '12680', '12850', '13796', '13902', '15211', '11531']","['eating healthy issue', 'healthy food choices available create need eat unhealthily', 'plan ahead eat nutritious foods.', 'purchasing healthy items/nutrition information/', 'hard time cook healthy options work']"
13,41,13_time_12_10_timing,"['time', '12', '10', 'timing', 'aug', '121', 'oct', 'coordinate', 'comment', 'concerns']","['time', 'time.', 'time']","['108', '517', '1501', '2848', '2994', '3823', '4442', '5079', '8796', '10000', '13078', '13300', '14004', '14952', '5041', '8796', '10000', '13078', '108', '115', '313', '755', '1222', '2461', '3136', '3450', '3922', '4365', '5913', '9098', '9166', '9172', '9524', '10000', '10187', '11061', '12250', '13078', '13300', '13844', '14468']","['time, past', 'time', 'work time.', 'time.', 'times']"
